Customer ID,Credit Limit,Utilisation %,Avg Payment Ratio,Min Due Paid Frequency,Merchant Mix Index,Cash Withdrawal %,Recent Spend Change %,DPD Bucket Next Month
C0156,30700,98,0,60,0.65,0,12,0
C0157,20000,50,47,61,0.69,20,1,0
C0158,58300,19,97,66,0.81,0,-29,0
C0159,39500,61,69,0,0.83,3,-19,0
C0160,20000,82,9,42,0.71,7,-6,0
C0161,20000,57,26,0,0.78,8,-5,0
C0162,44500,67,33,39,0.64,0,50,0
C0163,69200,35,42,21,0.72,21,-26,0
C0164,32000,100,4,0,0.62,20,48,0
C0165,24600,2,88,33,0.67,0,0,0
C0166,35700,41,81,49,0.91,37,-2,1
C0167,25300,29,51,81,0.67,44,54,0
C0168,20000,0,100,13,0.58,41,20,0
C0169,25200,98,0,43,0.83,9,-40,0
C0170,42100,68,23,70,0.68,17,5,0
C0171,27700,48,66,56,0.77,16,21,0
C0172,22500,52,63,48,0.79,0,14,0
C0173,20000,42,53,10,0.65,1,36,0
C0174,69900,39,62,0,0.87,2,4,0
C0175,44700,58,38,50,0.55,68,-37,0
C0176,24600,78,39,50,0.63,5,5,0
C0177,25800,17,100,0,0.57,57,-47,0
C0178,28900,19,83,4,0.75,0,42,0
C0179,25800,76,92,63,0.39,67,-29,2
C0180,43900,52,0,7,0.62,14,-19,0
C0181,35600,0,100,33,0.63,0,2,0
C0182,29200,64,28,1,0.47,6,11,0
C0183,33200,31,47,35,0.65,57,48,2
C0184,44200,61,0,100,0.71,0,-14,1
C0185,48000,51,27,3,0.46,12,-15,0
C0186,32700,15,67,0,0.68,18,1,0
C0187,48000,100,0,48,0.28,0,6,1
C0188,36200,74,30,0,0.74,10,32,0
C0189,26700,35,42,55,0.65,17,34,0
C0190,27000,62,3,71,1.0,19,-1,0
C0191,61600,49,34,55,0.36,0,18,0
C0192,31300,53,46,11,0.69,27,-28,1
C0193,20000,62,0,6,0.57,69,-41,2
C0194,39800,24,89,0,0.67,0,-28,0
C0195,21400,48,37,3,0.55,24,7,0
C0196,35100,16,66,32,0.76,37,-26,0
C0197,39200,81,0,46,0.81,0,22,0
C0198,57800,82,21,11,0.61,61,-66,1
C0199,30900,59,50,0,0.54,30,-48,1
C0200,20900,42,66,37,0.8,21,7,0
C0201,24000,51,72,45,0.6,14,9,0
C0202,20000,55,29,0,1.0,27,9,0
C0203,26000,49,42,4,0.72,21,-15,0
C0204,43000,32,76,48,0.53,45,-2,1
C0205,70600,78,19,80,0.63,78,-26,0
C0206,20000,50,62,1,0.71,2,-55,0
C0207,63700,76,5,0,0.65,12,-44,0
C0208,20000,50,38,8,0.47,3,12,0
C0209,32600,74,8,22,0.51,16,28,0
C0210,42100,76,29,47,0.44,33,46,0
C0211,21400,60,57,30,0.53,19,8,0
C0212,69000,77,33,35,0.77,0,26,0
C0213,37700,33,50,33,0.83,9,10,0
C0214,27200,67,33,0,0.8,27,41,0
C0215,28100,0,80,0,0.75,6,17,0
C0216,41400,61,37,0,0.61,6,-22,0
C0217,20500,58,32,46,1.0,18,-34,0
C0218,53200,43,45,50,0.74,20,-21,0
C0219,21000,64,40,12,0.93,0,-45,0
C0220,26900,64,84,34,0.76,46,-18,1
C0221,27700,61,71,0,0.82,0,-17,0
C0222,23800,50,51,56,0.7,0,-21,0
C0223,54400,30,64,3,0.52,46,-8,0
C0224,33300,63,39,15,0.88,0,13,0
C0225,26700,49,53,20,0.66,35,23,0
C0226,40700,88,0,0,0.66,0,-16,0
C0227,37500,24,40,100,0.26,63,-45,3
C0228,34400,86,5,28,0.89,22,-32,0
C0229,20000,41,37,88,0.63,5,-15,1
C0230,39600,65,37,63,0.64,0,0,0
C0231,41800,50,40,55,0.39,32,-8,1
C0232,24300,27,86,37,0.68,21,-65,0
C0233,50300,4,70,38,0.8,32,-29,0
C0234,24400,67,55,0,0.56,47,23,0
C0235,47200,40,56,7,0.72,0,-36,0
C0236,29700,76,52,7,0.77,20,10,0
C0237,43400,89,13,0,0.81,12,-50,0
C0238,104400,25,74,59,0.7,18,-24,0
C0239,42000,68,32,33,0.5,24,-77,0
C0240,38700,31,76,0,0.71,21,-9,0
C0241,27700,72,74,28,0.5,55,-4,2
C0242,46500,43,37,35,0.4,64,-3,2
C0243,30800,37,0,17,0.25,19,-19,2
C0244,25100,37,60,26,0.42,64,-48,0
C0245,20000,63,35,29,0.66,0,16,0
C0246,22800,63,10,25,0.45,56,-36,2
C0247,49700,38,61,0,0.69,14,-42,0
C0248,42800,90,15,50,0.76,62,-50,2
C0249,28700,98,86,56,0.57,60,-44,2
C0250,46100,100,0,24,0.56,16,-10,1
C0251,23900,10,75,24,0.69,0,3,0
C0252,169100,79,11,7,0.5,18,14,0
C0253,49300,36,45,70,0.64,33,-5,1
C0254,29300,57,27,60,0.6,15,-20,0
C0255,20000,30,67,13,0.55,23,15,0
C0256,20000,8,100,43,0.58,4,-12,0
C0257,70400,85,90,50,0.6,75,11,2
C0258,42300,16,91,8,0.74,49,27,0
C0259,20000,83,39,10,0.66,10,30,0
C0260,31400,30,81,14,1.0,33,-18,0
C0261,20000,35,73,58,0.75,16,-34,0
C0262,46100,73,0,54,0.37,62,-39,3
C0263,29500,37,92,6,0.9,0,-34,0
C0264,28100,73,3,42,0.72,15,-5,0
C0265,37500,59,78,37,0.64,59,-7,1
C0266,88500,65,18,15,0.5,24,-31,0
C0267,31000,75,56,64,0.7,25,3,0
C0268,20000,96,0,24,0.67,0,-45,0
C0269,61300,45,29,0,0.89,14,22,0
C0270,108200,27,55,44,0.67,0,0,0
C0271,20000,38,13,34,0.59,23,3,1
C0272,58100,45,38,6,0.57,34,15,1
C0273,29100,14,88,1,0.78,31,12,1
C0274,20000,94,32,41,0.4,13,-17,2
C0275,85100,42,51,27,0.72,0,1,0
C0276,51600,74,30,21,0.7,26,-26,0
C0277,37800,42,79,4,0.53,40,3,1
C0278,78800,10,81,60,0.8,0,-1,0
C0279,23900,59,54,30,0.83,20,10,0
C0280,20000,56,74,25,0.63,50,-25,1
C0281,34100,49,38,64,0.63,19,-25,1
C0282,38800,100,0,3,0.69,10,-22,0
C0283,73200,20,68,9,0.55,0,27,0
C0284,34100,45,64,25,0.86,0,6,0
C0285,26600,77,34,5,0.57,0,-21,0
C0286,57600,36,53,45,1.0,33,-12,0
C0287,52100,46,61,32,0.57,22,44,0
C0288,36500,39,42,53,0.73,22,23,0
C0289,25100,86,20,71,0.8,4,-2,0
C0290,23800,63,50,12,0.78,26,10,0
C0291,29700,65,25,0,0.58,1,-40,0
C0292,99800,76,8,0,0.88,31,-13,0
C0293,43400,79,36,100,0.63,22,-51,1
C0294,20000,61,17,60,0.76,32,-13,0
C0295,79700,56,36,0,0.71,25,19,0
C0296,22200,52,53,16,0.57,52,-6,0
C0297,67200,24,79,15,0.91,6,13,0
C0298,50300,95,9,24,0.7,0,-17,0
C0299,27700,96,0,0,0.55,0,-20,0
C0300,45100,37,41,30,0.85,0,-6,0
C0301,20000,0,100,30,0.75,0,22,0
C0302,30500,0,99,22,0.6,10,-4,0
C0303,20000,79,14,0,0.58,0,-1,0
C0304,33500,91,21,6,0.8,0,21,0
C0305,36700,78,0,11,0.51,0,4,0
C0306,62600,38,87,81,0.13,46,-54,3
C0307,23700,45,73,9,0.62,0,21,0
C0308,24700,29,50,5,0.52,0,19,0
C0309,33200,71,75,42,0.5,43,-30,1
C0310,43000,43,43,0,0.81,5,17,0
C0311,33800,95,39,0,0.49,31,-25,0
C0312,32800,44,69,19,0.94,15,6,0
C0313,37900,30,62,7,0.31,55,27,0
C0314,96700,76,4,74,0.74,78,-2,2
C0315,39000,85,0,52,0.64,44,-13,1
C0316,26400,1,94,16,0.97,27,29,0
C0317,20000,57,55,47,0.59,0,-15,0
C0318,55800,45,27,15,0.68,16,40,0
C0319,33500,89,13,31,0.56,43,41,0
C0320,28100,63,77,31,0.95,0,-4,0
C0321,49900,43,27,39,0.71,0,0,0
C0322,44300,38,62,37,0.63,16,0,0
C0323,27800,36,56,69,0.54,0,0,0
C0324,55200,95,28,1,1.0,71,38,0
C0325,27500,58,85,88,0.14,66,-35,2
C0326,58900,40,75,42,0.71,13,-10,0
C0327,61000,47,37,19,0.76,6,49,0
C0328,28900,43,31,28,0.84,17,-11,0
C0329,39100,52,42,0,0.65,14,-7,0
C0330,47600,46,80,39,0.44,45,-30,0
C0331,33200,47,19,12,0.85,9,-9,0
C0332,40900,51,48,20,0.48,37,-11,0
C0333,20000,78,45,71,0.5,10,-27,0
C0334,38600,41,69,0,0.71,0,-18,0
C0335,68000,32,57,1,0.75,0,7,0
C0336,38900,31,61,76,0.61,8,-8,0
C0337,20000,79,16,42,0.39,47,-5,1
C0338,45400,38,49,65,0.96,0,-15,0
C0339,30900,0,100,18,0.69,2,-14,0
C0340,31500,59,69,0,0.78,0,9,0
C0341,46400,63,36,0,0.36,5,-4,0
C0342,21500,88,31,70,0.78,45,-18,0
C0343,97400,6,100,37,0.57,0,9,0
C0344,36800,62,54,0,0.68,21,70,0
C0345,20000,36,30,27,0.72,9,-14,0
C0346,46800,28,79,37,0.88,12,-3,0
C0347,20000,12,94,47,0.92,62,-60,0
C0348,51100,24,79,65,0.79,0,-41,0
C0349,20000,84,32,24,0.64,0,-30,0
C0350,43400,15,52,11,1.0,0,-22,0
C0351,49700,22,100,0,0.62,31,-31,0
C0352,30700,10,82,23,0.49,17,-9,1
C0353,68500,20,95,0,0.34,37,24,0
C0354,41600,10,80,0,0.65,0,-36,0
C0355,45500,70,50,70,0.86,8,-63,0
C0356,20000,28,68,0,0.58,45,31,0
C0357,44400,39,43,47,0.73,22,-27,0
C0358,39400,18,46,0,0.74,0,-24,0
C0359,24300,67,0,90,0.16,90,4,2
C0360,29600,75,25,4,0.87,55,3,0
C0361,36700,27,89,26,0.72,1,51,0
C0362,20000,39,88,23,0.58,16,24,0
C0363,36300,62,0,27,0.52,14,12,0
C0364,38000,19,100,5,0.77,25,-24,0
C0365,47000,86,0,71,0.22,36,-55,2
C0366,20000,30,92,0,0.86,6,11,0
C0367,23600,100,0,66,0.46,17,-5,2
C0368,34300,57,0,45,0.29,39,-45,2
C0369,21700,65,51,13,1.0,12,-10,0
C0370,20000,45,82,45,0.88,0,1,0
C0371,60600,100,11,78,0.79,13,-6,0
C0372,20600,17,94,0,0.57,44,-31,0
C0373,23200,96,5,8,0.88,47,-16,0
C0374,24700,42,63,18,0.76,14,-4,0
C0375,23400,46,68,37,0.73,0,5,0
C0376,46800,26,100,0,0.57,31,12,0
C0377,23400,49,20,53,0.5,27,40,1
C0378,24600,74,55,0,0.66,47,0,0
C0379,20200,95,0,0,0.72,0,36,1
C0380,109500,35,36,61,0.59,3,18,0
C0381,45400,41,40,0,0.72,12,21,0
C0382,20000,0,100,16,0.81,0,-9,0
C0383,20000,53,41,75,0.56,29,-7,0
C0384,25200,52,46,69,0.39,70,-41,1
C0385,35500,0,71,8,0.48,30,-13,0
C0386,20900,100,27,30,0.57,28,-31,1
C0387,28600,12,66,12,0.66,37,11,0
C0388,53900,2,96,0,0.76,0,32,0
C0389,32500,69,46,0,0.67,0,-21,0
C0390,48100,71,10,49,0.49,40,20,1
C0391,36800,48,14,24,0.73,49,-53,3
C0392,33500,52,51,3,0.71,29,-6,0
C0393,41400,25,67,9,0.71,8,-11,0
C0394,20000,46,70,42,0.61,0,-7,0
C0395,20000,61,52,32,0.77,0,-22,0
C0396,30500,50,79,83,0.71,65,-50,2
C0397,55700,100,0,36,0.78,13,40,1
C0398,44400,56,34,0,0.72,0,32,0
C0399,20000,33,61,13,0.63,12,-1,0
C0400,29200,90,7,15,0.85,22,-29,0
C0401,25300,100,0,19,0.65,52,-38,0
C0402,79700,50,19,77,0.13,73,0,2
C0403,63500,76,65,0,0.84,11,-6,0
C0404,20000,86,10,8,0.62,64,-15,1
C0405,22300,88,0,40,0.42,15,8,0
C0406,24100,45,55,37,0.6,21,-10,1
C0407,20000,53,66,53,0.77,5,5,0
C0408,20000,59,23,53,0.63,5,-25,0
C0409,20000,86,85,73,0.12,47,-7,2
C0410,29100,30,24,28,0.45,0,-37,0
C0411,21900,15,100,36,0.68,0,20,0
C0412,33600,56,73,8,0.55,13,-14,2
C0413,32100,72,2,78,0.27,43,-35,2
C0414,20000,23,80,43,0.8,19,-19,0
C0415,35100,36,41,36,0.86,4,1,0
C0416,40300,86,0,55,0.54,35,3,0
C0417,25500,87,15,55,0.64,26,-4,0
C0418,65000,57,43,34,0.77,5,1,0
C0419,25700,65,24,7,0.74,0,-38,0
C0420,79400,63,28,19,0.87,0,16,0
C0421,34400,82,32,51,0.52,59,-89,1
C0422,21000,60,55,93,0.48,33,13,1
C0423,41200,91,0,10,0.62,41,2,0
C0424,47000,76,19,0,0.78,41,-12,0
C0425,26700,0,100,32,0.55,8,-42,0
C0426,58900,2,82,25,0.84,23,-30,0
C0427,108900,64,35,0,0.98,0,4,0
C0428,21000,91,28,45,0.38,52,-5,1
C0429,31600,36,56,18,0.46,0,-24,0
C0430,89200,58,23,36,0.86,0,45,0
C0431,43800,21,76,27,0.66,19,21,0
C0432,20000,27,54,22,0.69,14,-16,0
C0433,39000,42,76,39,0.46,11,-7,0
C0434,41500,62,36,0,0.73,0,-17,0
C0435,53400,49,61,0,0.53,33,29,0
C0436,33700,0,72,46,0.92,4,18,0
C0437,40900,46,47,0,0.77,8,25,0
C0438,86800,76,0,81,0.48,53,-8,1
C0439,25500,85,43,32,0.82,16,20,0
C0440,37800,42,76,0,0.48,55,-23,0
C0441,47000,32,64,30,0.74,0,-59,0
C0442,37700,100,0,75,0.51,90,-68,3
C0443,89800,44,56,61,0.58,27,8,0
C0444,32000,35,89,54,0.81,1,17,0
C0445,20900,81,0,34,0.76,60,24,1
C0446,22500,42,62,37,0.56,40,-50,2
C0447,20000,63,0,68,0.24,90,24,3
C0448,26900,89,0,9,0.53,55,11,0
C0449,20000,71,17,13,0.65,0,61,0
C0450,45100,47,62,38,0.72,0,-18,0
C0451,84600,45,58,12,0.85,0,48,0
C0452,41200,44,76,0,0.81,18,16,0
C0453,26800,15,96,1,0.37,0,-18,0
C0454,33000,69,0,44,0.39,26,14,2
C0455,23800,29,55,1,0.53,2,0,0
C0456,58300,46,65,34,0.53,2,9,0
C0457,20000,59,38,2,0.87,1,20,0
C0458,21000,100,0,25,0.76,0,-25,0
C0459,31600,18,82,0,0.83,4,28,0
C0460,29200,12,100,0,0.43,31,-15,0
C0461,32100,70,3,0,0.6,41,-16,0
C0462,137700,47,54,5,0.77,62,3,0
C0463,24900,89,27,0,0.69,12,-17,0
C0464,71200,45,40,62,0.5,36,9,0
C0465,23900,36,14,47,0.39,61,-5,2
C0466,26400,37,57,19,0.82,58,13,0
C0467,37200,46,86,53,0.83,51,21,0
C0468,52300,47,51,72,0.56,70,32,1
C0469,44300,52,25,18,0.74,20,-24,0
C0470,25600,71,0,36,0.55,43,-21,2
C0471,45600,56,13,0,0.82,29,9,0
C0472,29000,81,0,59,0.55,84,23,2
C0473,81000,0,100,53,0.81,35,-6,0
C0474,36800,31,88,2,0.63,18,-42,1
C0475,20000,46,55,41,1.0,0,16,0
C0476,20000,100,0,74,0.57,87,-90,3
C0477,33700,72,0,52,0.56,6,31,0
C0478,23800,62,32,83,0.41,10,15,0
C0479,27400,66,25,62,0.63,39,3,2
C0480,36900,87,43,0,0.75,23,18,0
C0481,26800,17,100,0,0.66,0,13,0
C0482,20000,26,71,23,0.98,0,-6,0
C0483,65700,0,100,0,0.59,1,18,0
C0484,22700,46,67,0,0.63,13,0,0
C0485,103100,34,75,17,0.94,25,20,0
C0486,23800,21,62,28,0.57,22,12,2
C0487,86600,47,30,0,1.0,51,0,0
C0488,20700,43,55,60,0.86,14,18,0
C0489,44400,62,12,66,0.25,58,23,2
C0490,26500,52,38,48,0.44,51,24,1
C0491,90200,42,70,38,0.69,49,0,0
C0492,55000,49,48,74,0.4,27,60,0
C0493,57000,39,57,62,0.69,25,-2,0
C0494,35900,44,37,51,0.54,8,47,0
C0495,20000,28,68,18,0.58,0,-28,0
C0496,24700,57,31,31,0.24,64,-26,0
C0497,22300,33,51,72,0.74,0,31,0
C0498,29400,45,67,17,0.81,39,-34,0
C0499,28600,100,0,86,0.3,64,-56,3
C0500,83800,75,70,47,0.13,51,0,3
C0501,65400,77,40,26,0.83,0,16,0
C0502,48900,68,66,8,0.78,0,-9,0
C0503,20000,56,83,29,0.84,3,-19,0
C0504,47300,66,32,60,0.51,54,-13,1
C0505,20000,59,52,4,0.79,26,-26,0
C0506,30000,93,0,35,0.36,5,10,0
C0507,49800,66,29,37,0.4,27,-4,2
C0508,30800,25,36,44,0.62,11,-9,1
C0509,20000,80,16,60,0.13,80,-10,2
C0510,28500,55,53,0,0.85,30,-23,0
C0511,26600,11,69,49,1.0,0,8,0
C0512,31300,27,44,0,0.89,37,-1,0
C0513,20000,69,83,46,0.78,19,26,2
C0514,36700,84,0,29,0.1,41,-17,1
C0515,44300,86,0,0,0.47,25,43,0
C0516,120800,50,40,16,0.5,0,16,0
C0517,49200,48,50,0,0.67,21,-37,0
C0518,20000,93,0,49,0.49,0,-15,1
C0519,28000,94,2,80,0.1,63,-36,3
C0520,94700,73,0,52,0.7,7,-13,0
C0521,59000,86,0,0,0.72,2,-30,0
C0522,37200,81,6,57,0.69,0,-14,0
C0523,20000,94,0,76,0.28,57,-35,2
C0524,44800,75,0,55,0.52,16,-54,1
C0525,21400,27,67,63,0.54,62,-90,1
C0526,30900,21,82,57,0.6,0,-20,0
C0527,25100,100,16,33,0.53,0,9,0
C0528,51800,20,100,9,0.65,0,-51,0
C0529,37900,33,67,25,0.89,0,-26,0
C0530,20000,25,58,45,0.8,41,0,1
C0531,27200,82,7,38,0.35,34,-35,1
C0532,25000,37,89,98,0.52,63,0,3
C0533,44500,60,24,100,0.56,47,-22,3
C0534,32900,58,73,18,0.56,0,8,0
C0535,20000,38,68,33,0.6,4,-30,0
C0536,109100,13,99,24,0.64,32,-35,2
C0537,39100,44,46,100,0.63,34,0,1
C0538,26400,59,53,67,0.81,37,-25,0
C0539,37900,31,83,21,0.72,0,-15,0
C0540,70000,62,37,0,1.0,0,-24,0
C0541,86600,85,0,44,0.45,42,-4,2
C0542,40000,95,9,0,0.69,0,-11,0
C0543,52900,45,28,12,0.62,0,-20,0
C0544,25800,90,38,0,0.95,0,18,0
C0545,42600,31,79,8,0.74,29,23,0
C0546,58700,74,5,10,0.67,24,-24,0
C0547,108700,2,88,59,0.92,7,-21,0
C0548,26200,36,79,29,0.55,0,2,0
C0549,20000,59,0,0,0.6,35,-19,0
C0550,20300,63,24,87,1.0,2,7,0
C0551,28700,42,44,52,0.69,0,32,0
C0552,48600,48,4,55,0.26,19,-19,1
C0553,39300,11,79,0,0.62,59,31,0
C0554,51100,56,49,14,0.78,2,-6,0
C0555,25700,66,30,59,0.36,55,-24,1
C0556,42400,7,66,68,0.9,6,21,0
C0557,20000,15,45,27,0.71,0,10,0
C0558,22600,73,43,32,0.87,46,1,0
C0559,42700,94,20,22,0.64,39,-12,0
C0560,27400,33,72,27,0.94,22,4,0
C0561,37100,76,3,22,0.44,52,-1,0
C0562,93300,50,33,31,0.66,34,0,0
C0563,49200,12,94,0,0.63,11,-4,0
C0564,51900,76,35,48,0.71,4,10,0
C0565,20000,33,100,44,0.81,6,-45,0
C0566,22500,0,97,21,0.53,1,37,0
C0567,57300,74,0,0,0.88,9,-5,0
C0568,33100,94,0,29,0.84,25,3,0
C0569,20000,51,86,44,0.43,51,-8,2
C0570,39100,7,100,26,0.61,10,-9,0
C0571,26900,59,0,23,0.91,7,-17,0
C0572,64100,41,60,33,0.62,19,7,1
C0573,37000,100,4,5,0.77,13,0,0
C0574,27100,4,78,0,0.4,56,-9,0
C0575,22400,6,97,35,0.42,26,-13,1
C0576,64200,35,36,56,0.53,31,-36,2
C0577,48600,47,48,0,0.68,14,-33,0
C0578,26500,46,32,20,0.87,32,-17,2
C0579,20000,19,84,0,0.78,15,19,0
C0580,35900,0,100,3,0.75,0,-2,0
C0581,24200,38,52,48,0.46,35,-81,0
C0582,42100,74,0,93,0.34,49,-23,3
C0583,31000,38,64,44,0.6,11,55,0
C0584,37700,0,100,0,0.63,22,-38,0
C0585,44400,33,51,0,0.78,27,37,0
C0586,20000,39,34,47,0.6,28,-11,0
C0587,31900,51,40,74,0.49,0,-51,0
